#(1) log(M_min) log of the minimum halo mass of the selection in logscale (in units of Msol/h)
#(2) log(M_max) log of the maximum halo mass of the selection in logscale (in units of Msol/h)
#(3) log(dM_min) log of the minimum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(4) log(dM_max) log of the maximum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(5) log(dz_min) log of the minimum change of redshift of the selection in logscale (calculated as z1-z2)
#(6) log(dz_max) log of the maximum change of redshift of the selection in logscale (calculated as z1-z2)
#(7) log(j_min) log of the minimum specific angular momentum of the selection in logscale (in physical units, Mpc/h * km/s)
#(8) log(j_max) log of the maximum specific angular momentum of the selection in logscale (in physical units, Mpc/h * km/s)
#(9) Angle
#log(M_min)	log(M_max)	log(dM_min)	log(dM_max)	log(dz_min)	log(dz_max)	log(j_min)	log(j_max)	Angle
11.0 11.2916666667 -3.0 -2.75 -1.33333333333 -1.16666666667 -0.833333333333 -0.416666666667 9.66546958439
11.0 11.2916666667 -3.0 -2.75 -1.33333333333 -1.16666666667 -0.416666666667 0.0 5.57093394694
11.0 11.2916666667 -3.0 -2.75 -1.33333333333 -1.16666666667 0.0 0.416666666667 4.06674934509
11.0 11.2916666667 -3.0 -2.75 -1.33333333333 -1.16666666667 0.416666666667 0.833333333333 5.88730507304
11.0 11.2916666667 -3.0 -2.75 -1.33333333333 -1.16666666667 0.833333333333 1.25 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.33333333333 -1.16666666667 1.25 1.66666666667 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.33333333333 -1.16666666667 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.33333333333 -1.16666666667 2.08333333333 2.5 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.16666666667 -1.0 -2.5 -2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.16666666667 -1.0 -2.08333333333 -1.66666666667 77.9385575023
11.0 11.2916666667 -3.0 -2.75 -1.16666666667 -1.0 -1.66666666667 -1.25 48.7709916052
11.0 11.2916666667 -3.0 -2.75 -1.16666666667 -1.0 -1.25 -0.833333333333 25.7288853446
11.0 11.2916666667 -3.0 -2.75 -1.16666666667 -1.0 -0.833333333333 -0.416666666667 12.3461499649
11.0 11.2916666667 -3.0 -2.75 -1.16666666667 -1.0 -0.416666666667 0.0 7.11590901496
11.0 11.2916666667 -3.0 -2.75 -1.16666666667 -1.0 0.0 0.416666666667 5.12424814787
11.0 11.2916666667 -3.0 -2.75 -1.16666666667 -1.0 0.416666666667 0.833333333333 2.43434006709
11.0 11.2916666667 -3.0 -2.75 -1.16666666667 -1.0 0.833333333333 1.25 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.16666666667 -1.0 1.25 1.66666666667 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.16666666667 -1.0 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.16666666667 -1.0 2.08333333333 2.5 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.0 -0.833333333333 -2.5 -2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.0 -0.833333333333 -2.08333333333 -1.66666666667 86.4452536057
11.0 11.2916666667 -3.0 -2.75 -1.0 -0.833333333333 -1.66666666667 -1.25 61.4677906267
11.0 11.2916666667 -3.0 -2.75 -1.0 -0.833333333333 -1.25 -0.833333333333 32.6059204634
11.0 11.2916666667 -3.0 -2.75 -1.0 -0.833333333333 -0.833333333333 -0.416666666667 15.8282654085
11.0 11.2916666667 -3.0 -2.75 -1.0 -0.833333333333 -0.416666666667 0.0 8.75715350919
11.0 11.2916666667 -3.0 -2.75 -1.0 -0.833333333333 0.0 0.416666666667 6.77743720973
11.0 11.2916666667 -3.0 -2.75 -1.0 -0.833333333333 0.416666666667 0.833333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.0 -0.833333333333 0.833333333333 1.25 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.0 -0.833333333333 1.25 1.66666666667 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.0 -0.833333333333 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.0 -0.833333333333 2.08333333333 2.5 -99.0
11.0 11.2916666667 -3.0 -2.75 -0.833333333333 -0.666666666667 -2.5 -2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -0.833333333333 -0.666666666667 -2.08333333333 -1.66666666667 -99.0
