#(1) log(M_min) log of the minimum halo mass of the selection in logscale (in units of Msol/h)
#(2) log(M_max) log of the maximum halo mass of the selection in logscale (in units of Msol/h)
#(3) log(dM_min) log of the minimum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(4) log(dM_max) log of the maximum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(5) log(dz_min) log of the minimum change of redshift of the selection in logscale (calculated as z1-z2)
#(6) log(dz_max) log of the maximum change of redshift of the selection in logscale (calculated as z1-z2)
#(7) Angle
#log(M_min)	log(M_max)	log(dM_min)	log(dM_max)	log(dz_min)	log(dz_max)	Angle
11.0 11.175 -2.1 -1.95 -2.4 -2.3 2.9706882588
11.0 11.175 -2.1 -1.95 -2.3 -2.2 3.40333487237
11.0 11.175 -2.1 -1.95 -2.2 -2.1 3.35698391884
11.0 11.175 -2.1 -1.95 -2.1 -2.0 3.65402846788
11.0 11.175 -2.1 -1.95 -2.0 -1.9 3.91724761674
11.0 11.175 -2.1 -1.95 -1.9 -1.8 4.24416352925
11.0 11.175 -2.1 -1.95 -1.8 -1.7 4.61276438018
11.0 11.175 -2.1 -1.95 -1.7 -1.6 4.97126677652
11.0 11.175 -2.1 -1.95 -1.6 -1.5 5.47755935808
11.0 11.175 -2.1 -1.95 -1.5 -1.4 6.12197004044
11.0 11.175 -2.1 -1.95 -1.4 -1.3 6.90134985718
11.0 11.175 -2.1 -1.95 -1.3 -1.2 7.89838934212
11.0 11.175 -2.1 -1.95 -1.2 -1.1 9.07952209595
11.0 11.175 -2.1 -1.95 -1.1 -1.0 10.2919265214
11.0 11.175 -2.1 -1.95 -1.0 -0.9 12.2064104683
11.0 11.175 -2.1 -1.95 -0.9 -0.8 13.388181826
11.0 11.175 -2.1 -1.95 -0.8 -0.7 15.3871079018
11.0 11.175 -2.1 -1.95 -0.7 -0.6 17.2409357377
11.0 11.175 -2.1 -1.95 -0.6 -0.5 19.0723736813
11.0 11.175 -1.95 -1.8 -2.5 -2.4 3.49336407436
11.0 11.175 -1.95 -1.8 -2.4 -2.3 3.39603457219
11.0 11.175 -1.95 -1.8 -2.3 -2.2 3.97530718572
11.0 11.175 -1.95 -1.8 -2.2 -2.1 3.77320334988
11.0 11.175 -1.95 -1.8 -2.1 -2.0 4.00255012816
11.0 11.175 -1.95 -1.8 -2.0 -1.9 4.22432556286
11.0 11.175 -1.95 -1.8 -1.9 -1.8 4.49985211704
11.0 11.175 -1.95 -1.8 -1.8 -1.7 4.80769727133
11.0 11.175 -1.95 -1.8 -1.7 -1.6 5.14076494167
11.0 11.175 -1.95 -1.8 -1.6 -1.5 5.60611636266
11.0 11.175 -1.95 -1.8 -1.5 -1.4 6.21214486659
11.0 11.175 -1.95 -1.8 -1.4 -1.3 6.8579265984
11.0 11.175 -1.95 -1.8 -1.3 -1.2 7.90861030003
11.0 11.175 -1.95 -1.8 -1.2 -1.1 9.01673266322
11.0 11.175 -1.95 -1.8 -1.1 -1.0 10.4008221755
11.0 11.175 -1.95 -1.8 -1.0 -0.9 11.7641009258
11.0 11.175 -1.95 -1.8 -0.9 -0.8 12.9696110276
11.0 11.175 -1.95 -1.8 -0.8 -0.7 14.903679887
11.0 11.175 -1.95 -1.8 -0.7 -0.6 15.9478088307
11.0 11.175 -1.95 -1.8 -0.6 -0.5 14.5271857814
11.0 11.175 -1.8 -1.65 -2.5 -2.4 4.42587835203
11.0 11.175 -1.8 -1.65 -2.4 -2.3 4.0281357444
11.0 11.175 -1.8 -1.65 -2.3 -2.2 5.10946387436
11.0 11.175 -1.8 -1.65 -2.2 -2.1 4.68610845708
11.0 11.175 -1.8 -1.65 -2.1 -2.0 4.71478540691
11.0 11.175 -1.8 -1.65 -2.0 -1.9 4.80876060141
11.0 11.175 -1.8 -1.65 -1.9 -1.8 5.08048153803
11.0 11.175 -1.8 -1.65 -1.8 -1.7 5.3109704154
11.0 11.175 -1.8 -1.65 -1.7 -1.6 5.53357338394
11.0 11.175 -1.8 -1.65 -1.6 -1.5 5.86616219632
11.0 11.175 -1.8 -1.65 -1.5 -1.4 6.32121514595
11.0 11.175 -1.8 -1.65 -1.4 -1.3 7.01654481454
11.0 11.175 -1.8 -1.65 -1.3 -1.2 7.84419324247
11.0 11.175 -1.8 -1.65 -1.2 -1.1 8.97992191891
11.0 11.175 -1.8 -1.65 -1.1 -1.0 10.0933376364
11.0 11.175 -1.8 -1.65 -1.0 -0.9 11.8278165218
11.0 11.175 -1.8 -1.65 -0.9 -0.8 12.9738279071
11.0 11.175 -1.8 -1.65 -0.8 -0.7 14.417193063
11.0 11.175 -1.8 -1.65 -0.7 -0.6 17.1384684549
11.0 11.175 -1.8 -1.65 -0.6 -0.5 20.1797245232
11.0 11.175 -1.65 -1.5 -2.5 -2.4 5.51232021898
11.0 11.175 -1.65 -1.5 -2.4 -2.3 4.90249873117
11.0 11.175 -1.65 -1.5 -2.3 -2.2 6.47728647248
