#(1) log(M_min) log of the minimum halo mass of the selection in logscale (in units of Msol/h)
#(2) log(M_max) log of the maximum halo mass of the selection in logscale (in units of Msol/h)
#(3) log(dM_min) log of the minimum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(4) log(dM_max) log of the maximum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(5) log(dz_min) log of the minimum change of redshift of the selection in logscale (calculated as z1-z2)
#(6) log(dz_max) log of the maximum change of redshift of the selection in logscale (calculated as z1-z2)
#(7) Dir
#log(M_min)	log(M_max)	log(dM_min)	log(dM_max)	log(dz_min)	log(dz_max)	Dir
11.0 11.175 -1.65 -1.5 -0.9 -0.8 86.9351947874
11.0 11.175 -1.65 -1.5 -0.8 -0.7 92.7620326096
11.0 11.175 -1.65 -1.5 -0.7 -0.6 103.560181799
11.0 11.175 -1.65 -1.5 -0.6 -0.5 99.4869038984
11.0 11.175 -1.5 -1.35 -2.5 -2.4 96.4511774801
11.0 11.175 -1.5 -1.35 -2.4 -2.3 70.8489429456
11.0 11.175 -1.5 -1.35 -2.3 -2.2 81.4340779007
11.0 11.175 -1.5 -1.35 -2.2 -2.1 73.9314248842
11.0 11.175 -1.5 -1.35 -2.1 -2.0 65.9589078725
11.0 11.175 -1.5 -1.35 -2.0 -1.9 62.4493268712
11.0 11.175 -1.5 -1.35 -1.9 -1.8 64.4176778928
11.0 11.175 -1.5 -1.35 -1.8 -1.7 65.4251815121
11.0 11.175 -1.5 -1.35 -1.7 -1.6 68.5998435461
11.0 11.175 -1.5 -1.35 -1.6 -1.5 71.3229533957
11.0 11.175 -1.5 -1.35 -1.5 -1.4 75.0263115837
11.0 11.175 -1.5 -1.35 -1.4 -1.3 78.3090708559
11.0 11.175 -1.5 -1.35 -1.3 -1.2 80.6862364627
11.0 11.175 -1.5 -1.35 -1.2 -1.1 81.7348823032
11.0 11.175 -1.5 -1.35 -1.1 -1.0 83.2520172356
11.0 11.175 -1.5 -1.35 -1.0 -0.9 85.3531309426
